First Name,Last Name,user_id,email,role,functional_unit,department,team,supervisor,NINO,address,city,county,postal,phone
Melyssa Deirdre,Morgan,MDM0625,Melyssa.Deirdre.Morgan@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,ZC115316D,3 Alder St,Eaton Park Ward,Stoke-on-Trent,ST2 9AW,
Gray Mason,Fulton,GMF0738,Gray.Mason.Fulton@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,SR605965B,80 Morecambe St,Bishop Auckland,County Durham,DL14 6NG,
Bianca Elizabeth,Roach,BER0314,Bianca.Elizabeth.Roach@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,TP928531D,7866 Renshaw St #283,Falmouth,Cornwall,TR11 4QQ,
Aurelia Martina,Reese,AMR0400,Aurelia.Martina.Reese@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,ZD631808A,658 Lake St,Malmesbury,Wiltshire,SN16 0XZ,
Yardley Cairo,Elliott,YCE0983,Yardley.Cairo.Elliott@dtaa.com,ManagementTrainer,1 - Adminstration,3 - Training,,Walter Kaseem Foley,MD384821D,5382 Redfern St,West End Ward,Greater London,W1J 0QH,
Blaine Jelani,Weeks,BJW0619,Blaine.Jelani.Weeks@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,NX777262C,45 Bidder St #38,Town Ward,Greater London,EN1 3HT,
TaShya Yoko,Bailey,TYB0779,TaShya.Yoko.Bailey@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,DS881750B,6766 Britton St #379,Crompton Ward,Greater Manchester,BL1 3EX,
Kermit Beau,Leach,KBL0260,Kermit.Beau.Leach@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,JV478977A,7 Lear Rd,Stroud,Hampshire,GU32 3PQ,
Heather Cynthia,Leonard,HCL0651,Heather.Cynthia.Leonard@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,3 - RegionalFieldService,Hedwig Regina Livingston,WT102690C,2577 Toxteth St #5,Overton Ward,Lancashire,BB6 7UN,
Shannon Chantale,Price,SCP0130,Shannon.Chantale.Price@dtaa.com,AssemblySupervisor,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Delilah Iliana Wilkinson,PO810098C,761 Cockerell St #1,Midway Ward,Derbyshire,DE11 0HE,
Castor Mark,Wolf,CMW0783,Castor.Mark.Wolf@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,PS706219C,9 Cypress St,Washington East Ward,Tyne and Wear,NE38 9AQ,
Damian Omar,Le,DOL0332,Damian.Omar.Le@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,DO221235A,6 Romilly St,Walkergate Ward,Tyne and Wear,NE6 4YH,
Robert Samuel,Chen,RSC0089,Robert.Samuel.Chen@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,AO733856D,51 St Anne St #12,Stratfield Mortimer,Berkshire,RG7 3RA,
Cailin Casey,Mckee,CCM0136,Cailin.Casey.Mckee@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,GL883587C,823 Idris St,Selston,Nottinghamshire,NG16 5LG,
Nina Camille,Hodges,NCH0179,Nina.Camille.Hodges@dtaa.com,AdministrativeAssistant,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,KM087173B,8764 Nickleby St #877,Govan Ward,Glasgow City,G51 1BQ,
Nicolas Brandon,Hendrix,NBH0256,Nicolas.Brandon.Hendrix@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,2 - ElectricalEngineering,Dylan Tiger Terry,TE314217A,5344 Bengel St #5,Millwall Ward,Greater London,E14 5DR,
Olivia Rose,Galloway,ORG0339,Olivia.Rose.Galloway@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,YC680261B,8880 Great Howard St #7750,Sefton,Merseyside,L29 7WD,
Forrest Rashad,Richards,FRR0832,Forrest.Rashad.Richards@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,GG124789B,9 Oakleigh,Lancing,West Sussex,BN15 9BN,
Miriam Shoshana,Donovan,MSD0939,Miriam.Shoshana.Donovan@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,WC374410C,83 Denbigh St Bootle,St. Gluvias,Cornwall,TR3 7AZ,
Olivia Quynn,Hardy,OQH0183,Olivia.Quynn.Hardy@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,1 - RegionalFieldService,Garrett Nicholas Solomon,OR290660A,30 Aughton St,Hilton,Aberdeenshire,AB24 2RR,
Bethany Stephanie,Haynes,BSH0445,Bethany.Stephanie.Haynes@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,UY016841A,260 Saxon St,Brooklands Ward,Greater Manchester,M33 4BP,
Nigel Gareth,Ochoa,NGO0690,Nigel.Gareth.Ochoa@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,4 - Software,Aurora Tatiana Payne,TW216157B,3 Pyramid St,Eccleston Ward,Merseyside,WA10 3BW,
Vincent Craig,Cunningham,VCC0396,Vincent.Craig.Cunningham@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,KI097047C,37 Langham St #948,St. Georges Hill Ward,Surrey,KT13 0AZ,
Kai Penelope,Peck,KPP0452,Kai.Penelope.Peck@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,LT795414A,94 Villars St,Launcells,Cornwall,EX23 9LG,
Raymond Tate,Osborne,RTO0313,Raymond.Tate.Osborne@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,QR009307B,73 Hawkstone St,Renfrew South & Gallowhill War,Dunbartonshire,G52 4YG,
Ariel Bertha,Murphy,ABM0845,Ariel.Bertha.Murphy@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,OH699593B,123 Sussex St,Astley Bridge Ward,Greater Manchester,BL1 6PY,
Vance Ira,Alston,VIA0063,Vance.Ira.Alston@dtaa.com,Manager,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Todd Vance Spears,QT665601D,484 Barry St,Shiney Row Ward,County Durham,DH4 7RG,
Clinton Coby,Wolfe,CCW0031,Clinton.Coby.Wolfe@dtaa.com,Manager,1 - Adminstration,6 - Security,1 - BuildingSecurity,Fatima Ulla Mcclure,EQ654341D,7033 Micawber St,Bintree,Norfolk,NR20 5NQ,
Illana Yvette,Bradshaw,IYB0918,Illana.Yvette.Bradshaw@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,HY444440A,33 Vipond St,Woodhall Farm Ward,Hertfordshire,HP2 7JP,
Orla Ruth,Mckenzie,ORM0669,Orla.Ruth.Mckenzie@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,NV777200B,85 Hero St,Stanhope,County Durham,DL13 2TZ,
Mikayla Jaden,Barron,MJB0588,Mikayla.Jaden.Barron@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,HU124137A,77 Reading St #8,North Tawton,Devon,EX20 2TR,
Leah Idola,Moran,LIM0674,Leah.Idola.Moran@dtaa.com,Physicist,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,WP041214B,274 Altcar Ave,Catterick,North Yorkshire,DL10 7NU,
Lacota Helen,Nash,LHN0151,Lacota.Helen.Nash@dtaa.com,Accountant,4 - Finance,1 - Accounting,,Cedric Herrod Gilliam,BX061387D,38 Avondale Rd #79,Kilmersdon,Somerset,BA3 5SJ,
William Theodore,Reeves,WTR0563,William.Theodore.Reeves@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,WM979161B,4679 Curzon St,Central Ward,Lancashire,BB5 0SJ,
MacKenzie Kristen,Stewart,MKS0204,MacKenzie.Kristen.Stewart@dtaa.com,Attorney,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,WJ003736D,13 Nelson Rd,Filwood Ward,Bristol,BS4 1HT,
Armando Albert,Walter,AAW0353,Armando.Albert.Walter@dtaa.com,AssemblySupervisor,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Delilah Iliana Wilkinson,VZ684039B,2546 Hunter St,Central Buchan Ward,Aberdeenshire,AB53 6YD,
Willow Jaime,Daniel,WJD0576,Willow.Jaime.Daniel@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,ZC456866A,77 Mason St #650,Smallbridge and Firgrove Ward,Greater Manchester,OL16 3AW,
Irene Lacota,Huffman,ILH0958,Irene.Lacota.Huffman@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,GA613413D,94 Wakefield St,Lavenham,Suffolk,CO10 9PU,
Tallulah Liberty,Kirby,TLK0993,Tallulah.Liberty.Kirby@dtaa.com,IndustrialEngineer,3 - Manufacturing,1 - IndustrialEngineering,,Grant Tyrone Doyle,FX544788D,529 Stalmine Rd #3680,Saffron Walden,Essex,CB11 4DJ,
Rashad Aristotle,Guerrero,RAG0275,Rashad.Aristotle.Guerrero@dtaa.com,ElectricalEngineer,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,QZ340783C,52 Morningside Rd #1,Cilybebyll Community,Neath Port Talbot,SA8 3HE,
Kai Wynne,Craft,KWC0004,Kai.Wynne.Craft@dtaa.com,VicePresident,2 - ResearchAndEngineering,,,Mona Susan Shannon,RV233785B,94 Enid St,Birchington,Kent,CT7 9BG,
Cora Jane,Kinney,CJK0200,Cora.Jane.Kinney@dtaa.com,PurchasingClerk,6 - PurchasingAndContracts,2 - Pricing,,Eugenia Whilemina Harrington,JM864638D,661 Great Crosshall St,Forth Ward,City of Edinburgh,EH5 2LR,
Flynn Edward,Brennan,FEB0306,Flynn.Edward.Brennan@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,RD767057A,227 Albert Terrace,Belvedere Ward,Greater London,DA17 6EF,
Nicolas Kadeem,Hayden,NKH0807,Nicolas.Kadeem.Hayden@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,BC869298C,464 Back Nile St #618,Acton Central Ward,Greater London,W3 6QJ,
Jade Maris,Coleman,JMC0925,Jade.Maris.Coleman@dtaa.com,Physicist,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,JR025682A,42 Eastwood St,Walton Ward,Cambridgeshire,PE4 6HB,
Stephanie Briar,Harrington,SBH0537,Stephanie.Briar.Harrington@dtaa.com,Manager,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Todd Vance Spears,WO841109D,2877 Grain St,Caversham Ward,Berkshire,RG4 5DE,
Julie Jaime,Burns,JJB0700,Julie.Jaime.Burns@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,EK749891B,13 Stockdale St #779,Abingdon on Thames,Oxfordshire,OX14 5QH,
Amaya Iola,Sawyer,AIS0405,Amaya.Iola.Sawyer@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,2 - Software,Jocelyn Bree Mccray,AB425160D,9 Cropper St,Northgate Ward,West Sussex,RH10 1YJ,
Hilda Alice,Hahn,HAH0760,Hilda.Alice.Hahn@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,KX694625D,3 Gaskell St,Tynemouth Ward,Tyne and Wear,NE30 2NB,
Aladdin Hu,Day,AHD0848,Aladdin.Hu.Day@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,5 - AssemblyDept,Amy Lucy Chen,TH764711B,5221 Royston St,Eccleshall,Staffordshire,ST21 6GA,
Lila Dana,Mcintyre,LDM0587,Lila.Dana.Mcintyre@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,UD268227B,83 St Johns Lane #43,Linlithgow Ward,West Lothian,EH49 7LS,
Armand Jasper,Nicholson,AJN0607,Armand.Jasper.Nicholson@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,3 - RegionalSales,Winter Veda Burks,YV135827A,603 Pall Mall,Layton Ward,Lancashire,FY3 8ND,
Emerald Imani,Schmidt,EIS0041,Emerald.Imani.Schmidt@dtaa.com,ITAdmin,1 - Adminstration,6 - Security,2 - ElectronicSecurity,Frances Alisa Wiggins,DH280042D,76 Dawber St #6,Blackheath Westcombe Ward,Greater London,SE3 7JY,
Melodie Lee,Glenn,MLG0475,Melodie.Lee.Glenn@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,2 - AssemblyDept,Armando Albert Walter,ZU285394A,3380 Alexander St,Moulsham and Central Ward,Essex,CM1 9QQ,
Ethan Perry,Wiggins,EPW0434,Ethan.Perry.Wiggins@dtaa.com,TestEngineer,2 - ResearchAndEngineering,3 - Engineering,7 - TestAndEvalualtion,Cameron Noel Elliott,FO432784B,216 Lissant St #8,Great Dunmow,Essex,CM6 1DQ,
Jena Audrey,Malone,JAM0382,Jena.Audrey.Malone@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,2 - Lab,Kim Dara Sullivan,IJ517043C,92 Phythian St #614,Gweek,Cornwall,TR11 5RR,
Noble Clinton,Klein,NCK0295,Noble.Clinton.Klein@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,ZC069373C,792 Queens Rd,Stretford Ward,Greater Manchester,M32 8LR,
Luke Jacob,Talley,LJT0817,Luke.Jacob.Talley@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,5 - Software,Sara Gail George,HA624621B,5196 York St,Orsett Ward,Essex,SS17 8NS,
Chandler Ashton,Madden,CAM0102,Chandler.Ashton.Madden@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,3 - Engineering,4 - SystemsEngineering,Gage Kaden Odonnell,MM869373B,428 Kearsley St,Hatton,Warwickshire,CV35 7UA,
Suki Ori,Grant,SOG0411,Suki.Ori.Grant@dtaa.com,SystemsEngineer,2 - ResearchAndEngineering,3 - Engineering,6 - SystemsEngineering,Hadassah Riley Baker,DH060779C,8 Chestnut St,Barrowford,Lancashire,BB9 6EW,
Kameko Signe,Harrison,KSH0569,Kameko.Signe.Harrison@dtaa.com,SoftwareEngineer,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,EQ966709D,998 Roe St #6,Bellingham,Northumberland,NE48 2BX,
Bruno Donovan,Ingram,BDI0533,Bruno.Donovan.Ingram@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,QF496061D,3 Copenhagen Rd,George St,Aberdeenshire,AB25 3UZ,
Paula Madaline,Jackson,PMJ0564,Paula.Madaline.Jackson@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,UD828542B,293 Vivian St,South Jesmond Ward,Tyne and Wear,NE2 1EY,
Hedda Grace,Gordon,HGG0240,Hedda.Grace.Gordon@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,1 - Software,Vance Ira Alston,MH121435C,8 Barlow St #6,Barlow,Derbyshire,S18 7TH,
Mari Gretchen,Shaw,MGS0974,Mari.Gretchen.Shaw@dtaa.com,HumanResourceSpecialist,1 - Adminstration,1 - Personnel,,Bethany Xerxes Johnson,KM589819B,5 Shakspeare St #66,St. Johns Ward,Hereford and Worcester,B61 8HD,
Dominic Howard,Mcconnell,DHM0937,Dominic.Howard.Mcconnell@dtaa.com,ComputerProgrammer,2 - ResearchAndEngineering,2 - SoftwareManagement,6 - Software,Caleb Mason Ball,VH338705D,7 Carolina St,Bodmin,Cornwall,PL31 1QF,
Colin Evan,Brown,CEB0210,Colin.Evan.Brown@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,MC368628C,52 Trowbridge St,Knightsbridge and Belgravia Wa,Greater London,SW1X 9HB,
Yvette Jeanette,Vang,YJV0699,Yvette.Jeanette.Vang@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,UH521082D,25 Village St,Elgin City South Ward,Moray,IV30 1SB,
Brittany Mona,Terry,BMT0528,Brittany.Mona.Terry@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,RY986192D,4 Peach St #5112,Halstead,Kent,TN14 7EF,
Caleb Jonas,Chang,CJC0494,Caleb.Jonas.Chang@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,AC045330C,3614 Old Hall St #604,Fawley,Hampshire,SO45 2PT,
Glenna Caryn,Sharpe,GCS0571,Glenna.Caryn.Sharpe@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,3 - AssemblyDept,Whilemina Pandora England,DE392498A,3768 Hey Green Rd,Hartshill,Warwickshire,CV10 0TH,
Beck John,Peters,BJP0134,Beck.John.Peters@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,1 - AssemblyDept,Shannon Chantale Price,EP871051B,97 Newlands St,Kensington and Fairfield Ward,Merseyside,L6 9DU,
Kirby Bo,Pollard,KBP0008,Kirby.Bo.Pollard@dtaa.com,VicePresident,6 - PurchasingAndContracts,,,Mona Susan Shannon,SZ877418A,6226 Maitland St,West Bromwich Central Ward,West Midlands,B70 6DR,
Fitzgerald Len,Merrill,FLM0213,Fitzgerald.Len.Merrill@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,UG232119A,891 Crocus St,Rowley Ward,West Midlands,B65 8EZ,
Rhonda Rhona,Parsons,RRP0568,Rhonda.Rhona.Parsons@dtaa.com,ComputerScientist,2 - ResearchAndEngineering,2 - SoftwareManagement,3 - Software,Stephanie Briar Harrington,UM226488D,1 Segrave St,Sutton Trinity Ward,West Midlands,B75 6HJ,
Shelly Audra,Ayala,SAA0999,Shelly.Audra.Ayala@dtaa.com,ElectricalEngineer,3 - Manufacturing,2 - ManufacturingEngineering,,Fritz Dale Ellison,TJ838736A,666 Moor Place,Shepway South Ward,Kent,ME15 8ST,
Teagan Hedy,Romero,THR0873,Teagan.Hedy.Romero@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,5 - RegionalSales,Hashim Damon Dudley,YK526278C,1554 Christopher St,Everton Ward,Merseyside,L6 1BG,
Kimberley Roary,Maldonado,KRM0541,Kimberley.Roary.Maldonado@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,PG236473B,55 Margaret Rd,Heaton Ward,"Yorkshire, West",BD9 4DA,
Kenneth Steel,Porter,KSP0966,Kenneth.Steel.Porter@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,6 - AssemblyDept,Sandra Beverly Diaz,SP957584C,8830 Antonio St,Gillingham North Ward,Kent,ME7 1DZ,
Lionel Omar,Fisher,LOF0311,Lionel.Omar.Fisher@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,1 - RegionalSales,Meredith Ainsley Wolf,EV975240B,82 Sinclair St,Bangor Community,Gwynedd,LL57 1DW,
Montana Basia,Roberts,MBR0724,Montana.Basia.Roberts@dtaa.com,ProductionLineWorker,3 - Manufacturing,3 - Assembly,4 - AssemblyDept,Alan Benjamin Holder,VA568787D,7568 Atlas St,Butterwick,Lincolnshire,PE22 0HY,
Medge Liberty,Petersen,MLP0668,Medge.Liberty.Petersen@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,4 - Lab,Sarah Imelda Juarez,BD034280C,93 Clyde Rd #9,Deepdale Ward,Lancashire,PR1 6TN,
Charity Uta,Daniels,CUD0795,Charity.Uta.Daniels@dtaa.com,Physicist,2 - ResearchAndEngineering,1 - Research,5 - Lab,Sasha Britanney Quinn,LI373370A,18 Nimrod St,Walney North Ward,Cumbria,LA14 3SJ,
Guy Zeus,Chandler,GZC0735,Guy.Zeus.Chandler@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,4 - RegionalSales,Lysandra Chastity Brennan,BX290657B,6 Cannock St,Scarcroft,West Yorkshire,LS14 3BW,
Hadassah Leah,Harris,HLH0512,Hadassah.Leah.Harris@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,OE151665D,2258 Benedict St,Penryn,Cornwall,TR10 8RP,
Norman Jackson,Beck,NJB0243,Norman.Jackson.Beck@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,PA792224C,9302 Ismay St #6,Tenterden,Kent,TN30 6JP,
Gregory Curran,Sutton,GCS0518,Gregory.Curran.Sutton@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,2 - RegionalFieldService,Burke Randall Burnett,VU713185A,3347 Lawrence Rd #456,Haverstock Ward,Greater London,NW5 4EU,
Nicole Macey,Craig,NMC0486,Nicole.Macey.Craig@dtaa.com,Salesman,5 - SalesAndMarketing,2 - Sales,2 - RegionalSales,Bert Jason Henderson,FF105835B,47 Elwy St,Kilpatrick Ward,West Dunbart,G81 6RT,
Keegan Marvin,Benson,KMB0922,Keegan.Marvin.Benson@dtaa.com,Scientist,2 - ResearchAndEngineering,1 - Research,6 - Lab,Lillith Adena Matthews,PQ248993A,553 Picton Rd,Astley Mosley Common Ward,Greater Manchester,M29 7AA,
Cecilia Freya,Morgan,CFM0767,Cecilia.Freya.Morgan@dtaa.com,Technician,5 - SalesAndMarketing,3 - FieldService,4 - RegionalFieldService,Blaine Helen Cervantes,IA059711A,9986 Cantsfield St,St. Peters Ward,Tyne and Wear,SR6 9SD,
Holmes Arden,Day,HAD0246,Holmes.Arden.Day@dtaa.com,MechanicalEngineer,2 - ResearchAndEngineering,3 - Engineering,1 - MechanicalEngineering,Harper Price Harris,TG048220A,1 Sussex St,Cyfarthfa Community,Merthyr Tydfil,CF48 1AR,
Alexa Nadine,Poole,ANP0555,Alexa.Nadine.Poole@dtaa.com,Mathematician,2 - ResearchAndEngineering,1 - Research,3 - Lab,Honorato Ivan Wall,AT561869B,9548 Ogwen St #84,Baguley Ward,Greater Manchester,M23 9GB,
Leslie Briar,Fields,LBF0214,Leslie.Briar.Fields@dtaa.com,SecurityGuard,1 - Adminstration,6 - Security,1 - BuildingSecurity,Clinton Coby Wolfe,IV478395A,57 St Georges Hill,Crawcrook and Greenside Ward,Tyne and Wear,NE40 4LJ,
Dacey Jorden,Bowen,DJB0159,Dacey.Jorden.Bowen@dtaa.com,Director,5 - SalesAndMarketing,1 - MarketAnalysis,,Hyatt Trevor Hayes,EO479278C,385 Upper Hampton St #39,Southey Ward,South Yorkshire,S5 8LL,
Baxter William,Price,BWP0202,Baxter.William.Price@dtaa.com,Attorney,6 - PurchasingAndContracts,3 - Contracts,,Whoopi Britanney Camacho,SU680659A,6378 Lyell St #48,Trossachs and Teith Ward,Stirling,FK21 8TJ,
